id	text
zh_0001	七夕全国撒狗粮，民政局变身“甜蜜打卡点”！
zh_0002	上合开会，专治地球“上火”。
zh_0003	全球最大！咱自己造的，吊得比广场舞音响还稳！
zh_0004	他信家又“宪”入困境，佩通坦刚当总理就“被下课”。
zh_0005	华盛顿该醒醒了，连快递都不愿“包”你了！
zh_0006	教育部第3次提醒：留学别变“留级”！
zh_0007	欧洲一体化正在悄悄“变形记”，就差没长出触角了。
zh_0008	“堤丰”进日本，安全雷管已拧紧。
zh_0009	日美“借盾防身”，结果发现是纸糊的。
zh_0010	平台验明正身，专治“科普”李鬼！
zh_0011	上合兄弟天津聚，抱团比火锅还烫！
zh_0012	堪培拉想走中间道，别走到马路牙子上就行。
zh_0013	法国一“单飞”，盟友全皱眉。
zh_0014	光给司机减抽成，不治平台“打肿脸充胖子”的毛病，迟早还得翻车！
zh_0015	“大罢免”被完封，岛内民意终于睡醒了。
zh_0016	澳洲想打稀土牌？先算算别把自己“稀”没了！
zh_0017	14亿人买买买，中国经济稳如老狗。
zh_0018	中日韩再不签自贸协定，泡菜、寿司和饺子都要急得抱团取暖了！
zh_0019	中国未来靠“量大管饱”定义？
zh_0020	港姐三美争冠：一个已戴、一个在练、一个快爆！
zh_0021	宠物躺赢，人忙到飞起——从美容到善终，铲屎官都快成CEO了！
zh_0022	跳楼没砸中气垫，命比气垫还脆。
zh_0023	熱褲女騎士自摔變「血色浪漫」，網友：這跤跌得痛到上熱搜！
zh_0024	将军澳医院两医生抢病人资料，比抢红包还急！
zh_0025	港人外遊回來只帶回照片，沒帶回胃口——餐飲零售業快餓哭了！
zh_0026	葵涌毒仓被端，K仔多到能开演唱会！
zh_0027	中大医学院遗憾：非本校“医”托偷拍手术室，威院怒斥太不“术”服！
zh_0028	的士手机阵末日将至，运物局：最多带俩“机”友！
zh_0029	用科技“宠”老人，比娃还主动！
zh_0030	體育園辦三賽，鄧Sir：測到連蚊子都過不了！
zh_0031	體育園盛事多，跨部門組隊竟沒踢到彼此腳後跟！
zh_0032	骗吃又骗色，这顿8万晚餐牢底坐穿。
zh_0033	贸易变脸，税法来凑热闹。
zh_0034	特朗普关税被法官“退货”，他气得要上诉！
zh_0035	李家超东区“赶场”察民情，急长者所急，差点自己变长者。
zh_0036	苏格兰三兄弟划船139天横穿太平洋，就为了证明家里WiFi信号真的不好！
zh_0037	印尼议会大楼“火”速升温，三死四伤，抗议变烧烤派对。
zh_0038	莫迪和石破茂挤新干线，合作快过列车还稳！
zh_0039	牛郎织女带货七夕，上海民政局喜提十年最强“恋爱脑”！
zh_0040	网民投诉鲁迅壁画教人抽烟，结果自己脸被打肿发长文道歉。
zh_0041	韩企在华造芯，美设备请绕道！
zh_0042	月租9万，房东笑醒，租客梦游。
zh_0043	海德园变“人从众”打卡点。
zh_0044	屋苑买卖月内赚多过蚀，业主笑到漏电！
zh_0045	新盘卖疯了，一天清仓百套房！
zh_0046	微软终于给AI装上了自家造的“脑子”。
zh_0047	借錢炒股，一秒变“负”翁。
zh_0048	李嘉兒打雙打，順手把三冠王打包帶走！
zh_0049	曼联见财化水，贝蒂斯看了安东尼账单直接装失明。
zh_0050	艾摩廉：我沒下台，只是去換個燈泡！
zh_0051	陳曉東明年紅館開騷，粉絲：我的青春又欠費了！
zh_0052	1号李尹嫣先抢“友谊”保平安，7号施宇琪笑怼后冠魔咒不怕“戴冠即凉”。
zh_0053	《我愛九龍城》：人情味濃過奶茶，街坊多過蚊子！
zh_0054	司机见警秒变“烟弹快递员”，弃车狂奔送300粒“提神小糖豆”。
zh_0055	曼联靠补时点球“压哨”赢球，终于把赛季首胜从悬崖边捞回来了！
zh_0056	麦当劳单人卡座秒变家庭抢座现场，结局笑死！
zh_0057	港律师组团去德里“诉”说司法烦恼，汤文龙现场吐槽跨区办案有多难。
zh_0058	蕭煒忠：甜過初恋，笑出成就！
zh_0059	Rocky女友疑曝光：小30岁带6岁娃，郑健乐前夫俩自闭症儿子直呼这剧情比擂台还刺激！
zh_0060	李嘉儿横扫三冠，连自己都惊得球拍掉了！
zh_0061	铁骑士自爆还飙车，吹波超標被秒抓！
zh_0062	谷祖琳朱栢康抱回韩国ACE FACE大奖，梁思浩一提江欣燕就破防哽咽——这奖杯还没眼泪闪！
zh_0063	张柏芝空降林家谦演唱会，一开口《任何天气》秒变“尖叫天气”！
zh_0064	其其格喊话：我不是我，我是被冒充的我！
zh_0065	京沪楼市松绑，是想让我这打工人也敢做梦了？
zh_0066	莫迪又对中印关系“深情告白”了！
zh_0067	俄防长：我月入600平，包邮到家！
zh_0068	泰国总理又“代”班啦，普坦临时上岗！
zh_0069	美欧刚掏牌，西班牙秒变“鸽”派。
zh_0070	美情报总监大扫除，顺手把自家卧底当垃圾清了。
zh_0071	德国人一边喊着和平万岁，一边默默把军队从18万“膨胀”到26万——看来是打算用人数吓退敌人了。
zh_0072	刘强东夜市撸串，塑料碗里喝出兄弟情。
zh_0073	外卖三巨头干架，血亏200亿，就为让你省那5块钱配送费！
zh_0074	马伯庸忍辱负重送娃上作文班，只为儿子别把“忍辱负重”写成“忍辱负众”。
zh_0075	开学第一天，学校“塌”心了！
zh_0076	凤凰卫视香港台：港味国际范，浓缩就是精华。
zh_0077	鲁迅要是活到现在，怕是要被投诉到戒烟。
zh_0078	特朗普说欢迎中国学生，可签证还在“等风来”。
zh_0079	985学霸卷完考场，回县城当公务员“上岸”养老。
zh_0080	19块9租个“恋人”过七夕，比玫瑰便宜还包邮！
zh_0081	清华北大太卷，赢家们集体“退群”保命！
zh_0082	李在明一进白宫，嘴就自动切换成夸夸群模式。
zh_0083	一口价被禁，乘客司机双双“吃土”。
zh_0084	驻日美军三架无人机在冲绳“赖着不走”了。
zh_0085	俄说击沉了乌军侦察舰，乌军淡定回应：嗯，它只是去海底摸鱼了。
zh_0086	印度自研“金穹”罩不住，技术漏洞比咖喱还多。
zh_0087	香港艾滋病毒也卷不动了，连降九年！
zh_0088	伊朗汉学家萨贝基：讲真话的中国故事，比波斯地毯还难织！
zh_0089	爷爷弯腰6000次，终于把她“折”进大学了！
zh_0090	高校学生会“瘦身”成功，官僚气终于开始减肥了！
zh_0091	高考举报热线上线：作弊？先问问电话答不答应！
zh_0092	“天命人”上桌开饭，2024的好东西管够！
zh_0093	桃園豪宅保全帥到出圈，原來是「天菜排長」在站崗！
zh_0094	广东女生买个早餐，顺手把16年前的初恋老板打包结婚了。
zh_0095	巴西老哥洗纹身洗到怀疑人生：95%的皮肤都在喊疼！
zh_0096	刘在锡拿奖，演员圈却假装没看见，网友气到翻白眼！
zh_0097	78岁川普身体亮红灯，范斯已把总统椅当候补席。
zh_0098	2025年起，五大星座财运旺到连钱包都喊累！
zh_0099	八三夭开生日趴，女粉穿婚纱来“抢亲”！
zh_0100	港男騎YouBike詐遍台中，147趟賺翻270萬，差點申辦會員卡！
zh_0101	社区消杀队误把消毒水喷洒到广场舞大妈的折叠椅上，结果椅子一坐就“滋滋”冒泡，吓得大爷以为自己长了痔疮。
zh_0102	警方破获一起“锤击”抢劫案，嫌犯作案后竟在现场淡定剥香蕉，声称“砸完人得补钾”。
zh_0103	移动公司信号太差，我只好把冰箱搬进基站——至少冷气能覆盖全家。
zh_0104	警方破获一起离奇案件：嫌犯竟用锤击南瓜冒充爆炸物，结果被路过的大妈当成免费万圣节装饰顺走了。
zh_0105	最近菜市场惊现“剥皮南瓜”，摊主说这是新品种，结果顾客一削皮——好家伙，里头居然藏着昨晚失踪的新闻主播！
zh_0106	微波炉转三分钟就能热饭，可这本书我翻了三年还是冷冰冰的——它大概需要“知识加热”功能。
zh_0107	物业为防疫疯狂喷洒消毒水，我家门以为自己是蚊子，吓得自动反锁了。
zh_0108	科学家最新研究发现，用比萨的直径来测量地球周长，误差仅差两块芝士——前提是得先吃完别浪费。
zh_0109	拔掉插头后，冰箱连夜写了辞职信：这届主人连电都舍不得给，我冷不下去了！
zh_0110	刚在健身房称重完，电话就响了，我妈问我：“瘦了吗？”我说：“没，但手机秤显示通话时长又胖了三斤。”
zh_0111	番茄决定去籽创业，结果被做成番茄酱——连籽带梦全榨干了。
zh_0112	环保局喷洒消毒水时太猛，路过的杯子都被吓得自动扣在桌上装死。
zh_0113	听说隔壁实验室的混合器吵得像开摇滚演唱会，所长一怒之下把它关闭了——现在连咖啡都搅不动了！
zh_0114	警方破获一起“锤击番茄”案，嫌犯坚称只是想给沙拉加点节奏感。
zh_0115	科学家成功将南瓜与咖啡混合，打工人终于能边啃早餐边提神——只是不小心咬到籽时，会喷出浓缩焦虑。
zh_0116	微波炉加热剩饭，笔记本电脑加热老板的耐心——一个三分钟搞定，一个三年都凉不了。
zh_0117	科学家钻孔找新能源，结果打出个温泉蛋——原来地球早煮熟了鸡蛋当早餐！
zh_0118	近日某地惊现“椰子剥皮术”——嫌犯竟试图用椰子壳给手机贴膜，结果被警方当场“剥皮”问话。
zh_0119	警方破获一起离奇盗窃案，嫌犯竟用激光切割机偷鞋——结果只切出一双不合脚的寂寞。
zh_0120	称重时西瓜突然开口：“别称了，再称我就要‘瓜’分你的工资了！”
zh_0121	邻居投诉我家半夜锤击声扰民，其实我只是在用锤子教冰箱“冷静”——它又双叒叕把我的西瓜冻成冰疙瘩了！
zh_0122	他一打开混合器，结果把整个新闻发布会搅成了水果沙拉。
zh_0123	警方破获一起离奇案件：嫌犯试图用椰子切割银行金库，结果只切开了自己的脑洞。
zh_0124	科学家最新研究发现，用熏肉当尺子测量幸福指数，结果误差大到连猪都笑出声。
zh_0125	他终于学会“放下”了——把前任塞进冰箱，省电又保鲜。
zh_0126	科学家最新研究发现，用南瓜当标准单位测量宇宙膨胀速度，结果发现宇宙比预想的更“瓜”了。
zh_0127	为了“切割”开支，他把笔记本电脑切成两半——现在上班用一半，摸鱼用另一半。
zh_0128	听说他洗键盘洗得太认真，结果把老板的骂人话都冲进了下水道。
zh_0129	树被风吹得直摇晃，以为自己上了“自然界的动感单车”新闻头条。
zh_0130	股市暴跌，散户们像滚动的土豆一样，越滚越瘪还停不下来。
zh_0131	他一生气把电话扔出窗外，结果砸中了楼下正在直播“手机耐摔测试”的网红。
zh_0132	某地市民为抗议物价飞涨，竟集体朝超市扔橙子，结果橙子没砸中货架，全滚进了老板的榨汁机——这波通胀，连水果都开始“自投罗网”了。
zh_0133	新闻说有人边煎炸油条边煲电话粥，结果油锅冒烟，电话那头还以为他在演《烈火雄心》。
zh_0134	听说隔壁老王用锤击修微波炉，结果加热个包子差点把小区信号塔给震下来了。
zh_0135	新闻说某男子为省电拔掉插头，结果电话打不通——原来他把座机电源也拔了，现在只能靠鸽子传话。
zh_0136	超市南瓜集体罢工，称重时全喊“我们不是冬瓜，别按斤压榨！”
zh_0137	科学家用微波炉测量地球温度，结果刚放进去，北极就化了。
zh_0138	超市新规定：买番茄必须先称重，结果它一上秤就哭诉：“我这么红，不是因为熟，是因为社恐！”
zh_0139	科学家最新研究发现，用西瓜测量全球变暖速度最准——毕竟它一热就“爆”了。
zh_0140	听说他扔勺子抗议食堂菜太咸，结果勺子飞出去砸中了新闻联播的提词器。
zh_0141	听说有人把鞋放进微波炉烘干，结果新闻标题变成了“爆炸性时尚”——鞋子炸了，微波炉成了最新款烤鞋机。
zh_0142	他生气地把衬衫扔进洗衣机，结果新闻说洗衣机当选市长了——毕竟它天天“转”得比谁都勤快！
zh_0143	科学家最新研究发现，用烤箱测量爱情温度最准——毕竟，感情这东西，不烤一烤怎么知道是外焦里嫩还是彻底糊了？
zh_0144	听说他一口气喝下十杯蛋白粉，结果打了个嗝，孵出一只小鸡。
zh_0145	抗议者把曲奇饼当手雷扔向议会，结果议员们边躲边喊：“这届示威太甜了！”
zh_0146	听说隔壁老王把手机和搅拌机混合了，现在打他电话全是“嗡嗡”声，还附赠果蔬汁配方！
zh_0147	车主怒锤自家车，说它比前任还难启动——锤击十下，车没动，手先报废。
zh_0148	科学家发现新型环保材料，竟能用钻孔废料造出自动喝水的瓶子——可惜一钻就漏，喝了个寂寞。
zh_0149	新闻说某公司裁员“切割”得比理发店还利索，我手里的毛巾都吓得自动对折求生了。
zh_0150	锤击鞋底三下，新闻发言人说这是在“敲实”最新政策，结果鞋飞出去砸中了记者的咖啡杯。
zh_0151	某男子试图用锤击方式煮蛋，结果蛋没熟，邻居报警说他在敲打“沉默的证人”。
zh_0152	他锤击电话想让它快点接通，结果客服说：“您已成功预约——修手机服务。”
zh_0153	警方破获一起“洗”钱大案，嫌犯竟把赃款藏在腌黄瓜罐头里，说是为了“洗”得干净又入味。
zh_0154	新闻说股市暴跌，吓得我桌子都摇晃了——不是地震，是我手抖得连泡面都放不稳！
zh_0155	近日有人洗西瓜洗得太认真，连籽都搓成了瓜子仁，结果被误认成零食摊主。
zh_0156	为了消灭书虫，图书馆管理员竟对藏书进行“喷洒”消毒——结果喷的是风油精，整层楼的《五年高考三年模拟》都清醒了。
zh_0157	听说他想用微波炉“洗”衣服，结果衣服没干，人先被“叮”熟了。
zh_0158	打开冰箱的瞬间，我仿佛看到了新闻里说的“经济复苏”——可惜只是幻觉，里面只剩半盒过期酸奶。
zh_0159	移动信号弱到连微波炉都开始帮忙传消息了，结果刚发的“在吗”被加热成了“熟了吗”。
zh_0160	科学家最新研究发现，人类脚臭程度与鞋的密闭性成正比——建议用测量地震的仪器来测穿一周后的运动鞋，震级起码7.5！
zh_0161	听说有人把车切割成两半，结果发现是共享单车——难怪骑一半就“自动解约”了！
zh_0162	他洗窗户洗到一半，新闻突然播报外星人入侵——结果UFO就停在他刚擦干净的玻璃上，说这反光太刺眼，求他别洗了！
zh_0163	番茄被洗得连籽都喊冤，说这年头清白比红还难守住。
zh_0164	听说他扔股票跟扔花一样潇洒，结果花还能插瓶里养着，股票只剩下一地韭菜香。
zh_0165	有人试图洗清岩石的“污点”，结果岩石说：“我风化千年，脏的是你的心。”
zh_0166	近日玉米价格暴涨，农民连夜给玉米“剥皮”上市，结果发现剥到最后只剩一根芯——原来这届玉米也学会了“画皮”。
zh_0167	图书馆新规定：借书前先称重，结果我的《五年高考三年模拟》比狗还沉！
zh_0168	为了消灭蚊子，环保局决定用微波炉原理喷洒“热浪驱蚊剂”，结果小区Wi-Fi全被烤成了404。
zh_0169	股市又暴跌了，韭菜们滚着胡萝卜逃命，边滚边喊：“这根救命萝卜比K线还红！”
zh_0170	键盘侠情绪失控，竟用切割机把键盘切成九宫格发泄——结果连“撤回”键都切没了。
zh_0171	超市鸡蛋称重时集体耍赖，愣是把自己算成了“蛋”簧秤！
zh_0172	听说他把冰箱洗了三遍，结果新闻说——“嫌犯藏匿于家电内部”，原来是在躲洗衣粉的追杀！
zh_0173	听说他拔掉混合器插头时，连隔壁邻居家的Wi-Fi都安静了。
zh_0174	超市香蕉搞促销，顾客称重时连皮都舍不得剥——生怕少算一克，亏了那根“黄金条”。
zh_0175	听说他洗心革面去应聘，结果简历刚递进门，就被前台拿去当抹布擦门了。
zh_0176	科学家最新研究发现，用卷尺测量花的身高时，花居然害羞得缩成了干花——原来它以为自己在参加植物界选美大赛！
zh_0177	他去超市称重，结果瓶子比菜还重——原来装的是前任的眼泪，密度超标！
zh_0178	老板说要“切割”业务线，我一紧张把电话线也剪了，现在连裁员通知都打不进来。
zh_0179	听说他洗苹果时太用力，结果把手机也泡水了——原来那颗“苹果”是iPhone！
zh_0180	警方破获一起“南瓜切割案”，嫌犯坚称只是在练习万圣节雕刻，但切的是邻居家的豪车。
zh_0181	新闻说某人洗清嫌疑，结果发现他只是用毛巾擦了擦脸，连脑子都没洗！
zh_0182	键盘敲不出真相，只好用锤击帮它“回车”认罪。
zh_0183	防疫人员太敬业，连我家桌子都以为自己是草坪，被喷洒得绿油油的。
zh_0184	他切披萨时手劲太大，差点把岩石当芝士拉丝了。
zh_0185	图书馆新推“切割服务”：借书不用还，直接切碎当废纸——知识太沉重，不如一刀两断！
zh_0186	地铁急刹车，他一脑袋撞上扶手，头发还在原地摇晃，仿佛刚经历了一场私人地震。
zh_0187	股市一摇晃，股民的脸比柠檬还酸。
zh_0188	科学家最新研究发现，用胡萝卜测量月球距离更准确——毕竟，兔子都跑那么远了，总得有点依据！
zh_0189	记者锤击现场唯一没碎的瓶子，结果瓶子里装的是昨天的会议纪要——硬核程度堪比防弹玻璃。
zh_0190	他把新闻真相扔进混合器猛洗三遍，结果洗出一堆泡沫，连标题都起不来了。
zh_0191	听说他家冰箱一“关闭”，连剩饭都开始写辞职信了。
zh_0192	听说他把新闻“洗”了三遍还不干净，干脆塞进烤箱烘成头条脆片算了。
zh_0193	记者锤击键盘赶稿时，一不小心把椰子当回车键砸了，结果新闻标题变成了“椰汁溅满屏，真相硬如壳”。
zh_0194	为了精准测量老板画饼的直径，我不得不把笔记本电脑垫在泡面底下当游标卡尺。
zh_0195	股市一摇晃，股民的脸色比烂番茄还红。
zh_0196	新闻说某人洗心革面，结果他连椅子都一起洗了，现在坐在湿漉漉的“清新”上反思人生。
zh_0197	警方破获一起“锤击西瓜”案，嫌疑人坚称只是想帮夏天降降温——结果一锤下去，瓜飞汁溅，连路过的蚊子都中暑了。
zh_0198	环保局误将“喷洒消毒水”听成“喷洒蛋花汤”，结果整条街的鸡蛋都吓得跳窗逃跑。
zh_0199	新闻说地铁急刹车，乘客摇晃得像被风吹的花，结果一朵假发飞出去还带着花——原来大爷头上种的是蒲公英！
zh_0200	移动公司信号太差，连树都忍不住拔根跑路找5G了！
zh_0201	花蓮師生卡關，特搜隊秒變「人肉外掛」拉繩救援！
zh_0202	恆春六店联手搞事情，「半島拾光」逛到走不掉！
zh_0203	香港要让黄金“说”普通话了！
zh_0204	呂爵安玩命遊戲面不改色：公司訓練到我連尖叫都省了！
zh_0205	创科资讯：老板说这项目能成，我信了，结果代码比我命还脆。
zh_0206	裕民矿砂船装“风火轮”，AI算完碳排笑出声：省了10%！
zh_0207	马克龙堵路上急得给特朗普打电话：“你家保镖挡我道了！”
zh_0208	限貸解約說免違約金？法院：先問過我手裡的法槌同不同意！
zh_0209	吻戏太猛，19岁小鲜肉开机两天就“亲”逃了！
zh_0210	《明報雜誌》上線啦，八卦不用翻牆，正經事才要密碼！
zh_0211	为了出片命都不要了，相机比安全带还紧！
zh_0212	美瞳党注意，别让眼睛踩雷变“瞎忙”！
zh_0213	許光漢巡迴撩亞洲，TVBS緊跟怕他跑！
zh_0214	你追光，光追电费单。
zh_0215	岚图推“泰山”SUV，看来以后堵车真能靠山了！
zh_0216	炫技变翻车，越野车当场表演“四脚朝天”！
zh_0217	胶原蛋白不是速食面，别指望一泡就弹！
zh_0218	全城抓壮丁，Pick你最爱的游戏！
zh_0219	郭明錤说小米17要“减产瘦身”，销量先给自己砍一刀。
zh_0220	金九不镀金，北京楼市卖疯了！
zh_0221	马杜罗发来贺电：新中国76岁了，比我存款还稳！
zh_0222	社评：键盘一响，黄金万两——可惜是别人的。
zh_0223	纯喫茶靠“平替手摇”杀进动画CM和原创奖，省下的钱够买十杯珍珠奶茶！
zh_0224	大叔拿玩具手榴弹抢金链，结果被路人当“团建活动”按在地上摩擦。
zh_0225	星藝象娛樂：名字像大象，业务却像蚂蚁。
zh_0226	汾酒半年报：赚钱比醒酒还快！
zh_0227	从补牙到美甲，指尖时尚竟是牙医“漏”出来的潮流！
zh_0228	伦敦女生还没闻到“低调香”，鼻子已经排队到月球了！
zh_0229	樺加沙颱風逛馬太鞍溪，順手帶走14人還打包46個失聯。
zh_0230	养狗神器在手，铲屎官秒变轻松，毛孩笑到尾巴打结！
zh_0231	专家破解“斩首”变“反杀”，台湾这波操作藏得比泡面还深！
zh_0232	“影像空间”里，连你的尴尬都能高清回放。
zh_0233	直播：我在镜头前演人，你在屏幕后当鬼。
zh_0234	旅游吧，钱包君已阵亡。
zh_0235	职场如宫斗，还好有贵人递刀。
zh_0236	菲律宾强震“震”完收工，72人遇难，2万灾民开始“露营”生活。
zh_0237	领导开会，连空气都紧张得不敢喘气。
zh_0238	台股冲上天，彭金隆想把台湾变“亚洲那斯达克”，股民：先别摔下来！
zh_0239	张亚中逼问柯P是不是连垃圾都不如，郑丽文淡定回：蓝白以前可是互扔垃圾的仇人。
zh_0240	台风一发威，花莲堰塞湖“爆单”了——可惜送走的是14条人命。
zh_0241	马太鞍溪堰塞湖“漏水”漏掉两万七千座泳池，警报还红得发紫！
zh_0242	威能帝七局封鎖，桃猿射鷹屠獅，連勝吃到飽！
zh_0243	总书记带队“打卡”新疆，中央团开启西域团建模式！
zh_0244	阿Ken炸甜甜圈炸出金钟双入围，手抖差点把奖座揉进面团里！
zh_0245	港星豪宅变“接水大户”，台风一来盆比窗多。
zh_0246	AI零痛感，黑客撞墙不喊疼。
zh_0247	成龙去看SEVENTEEN，是来教他们“功夫打歌”还是“动作应援”？
zh_0248	吃肉不手抖，良心才发慌。
zh_0249	张立健：AI交响曲？怕不是炼金术在冒充贝多芬！
zh_0250	王楚钦怼记者：几点了还采访？我是人，不是永动机！
zh_0251	白领姐弟不当打工人，改行捏包子卷出新花样！
zh_0252	劉書宏肋骨裂開，瘦成「人形泡麵」還自責推掉工作！
zh_0253	妮可·基德曼试用期结束，老公没转正。
zh_0254	台积电一挺腰，台股就敢冲27000！
zh_0255	美联储还在“鸽”着，海指先跌为敬。
zh_0256	从库克山硬核徒步，到皇后镇躺平装仙女——新西兰南岛教你刚柔并济！
zh_0257	外资抢跑中国经济，就怕晚了没座儿！
zh_0258	英国人说话自带翻译费。
zh_0259	鱼油不是糖，乱吃中风找上门！
zh_0260	周浩鼎：人如其名，一鼎扛起全场。
zh_0261	人类学博士刘源：做公益？比挖祖宗还上头！
zh_0262	旅行：花钱买罪受，还笑嘻嘻发朋友圈。
zh_0263	南方人中秋不啃月饼，专啃习俗！
zh_0264	国内：别人家的狗都开始炒股了，你还在等啥？
zh_0265	广州中山纪念堂上演“红”色浪漫，快闪+音乐会，不来打卡都对不起你的朋友圈！
zh_0266	财经：钱没睡，它在加班。
zh_0267	招人，不招鸽子。
zh_0268	蘭嶼艦下水，東部海域從此「艦」步如飛！
zh_0269	跟党走，红火日子不用愁，连WiFi都满格！
zh_0270	辛纳一出手，中网变“辛”网！
zh_0271	王冠一戴，烦恼全甩！
zh_0272	综治中心变身“解忧杂货铺”，专治各种不服。
zh_0273	國民黨救災不忘造謠，結果鐵證一出，臉比災區還慘。
zh_0274	“即时”到连后悔都来不及！
zh_0275	热到连“查看更多”都快熟了！
zh_0276	经济：我不好，你也不好，大家都不好，但好像又没事。
zh_0277	美财长警告：政府再“摆烂”，GDP就要变“GDP不起了”！
zh_0278	南法低音炮，雄浑到邻居报警。
zh_0279	《SPARKS》一出，科学课本都冒烟了！
zh_0280	李在明联合国喊话：两韩别吵了，快“END”掉这出狗血剧！
zh_0281	慈湖秋日开趴，复古潮人10/4准时“穿越”！
zh_0282	刘嘉铭掌舵启境汽车，方向盘终于有人敢抢了！
zh_0283	科技和汽车股带头冲锋，欧洲股市集体“红”光满面！
zh_0284	花蓮師生卡關，特搜隊上線拉人！
zh_0285	中国对WTO说：我不当“特殊宝宝”了，美中掰头请自便！
zh_0286	金鼎奖现场：李远致敬出版人，郑明进笑称自己是“最幸运的老阿公”！
zh_0287	骆健佑杨佳敏携手晋级，郑加恒首轮打卡下班。
zh_0288	“影音”变“隐音”，一开会员就静音。
zh_0289	中秋刚啃完月饼，屠妖节又来收保护费，彩灯花卉还得加班营业！
zh_0290	今彩539双喜临门，彰化高雄各抱800万回家！
zh_0291	生活：主打一个活着就不错了。
zh_0292	新北阿公阿嬤明年刷卡爽領600點，連跳廣場舞都更有勁！
zh_0293	“影像”拍了拍你，并说：“别光看，笑一个！”
zh_0294	黃國昌笑說王義川告他，原來是想進他的D槽，詹凌瑀補刀：某人抖成篩子啦！
zh_0295	深圳新闻：今天又卷出新高度！
zh_0296	标普信评又双叒叕“不一致”了，罚单都成回头客了！
zh_0297	绿营内讧，王定宇气到退群，只因“杀伤力消息”外泄？
zh_0298	TVBS新闻：别人家的瓜，我家的饭。
zh_0299	健康更多？钱包更薄！
zh_0300	「专题」变「砖题」，读完头更疼。
zh_0301	台中9月20日开“心”派对，专治各种不开心！
zh_0302	金山电：钱又不够了？Cayman爸爸再打点泰铢零花！
